Ciclos,cant_clock
1, 1620468
2, 1525524
3, 1501648
4, 1555428
5, 1502892
6, 1495176
7, 1494268
8, 1495496
9, 1496016
10, 1546328
11, 1512148
12, 1504264
13, 1503024
14, 1507088
15, 1494148
16, 1665944
17, 1759064
18, 1624624
19, 1543920
20, 1509028
21, 1497416
22, 1558460
23, 1497368
24, 1492980
25, 1495952
26, 1492672
27, 1496488
28, 1534656
29, 1497424
30, 1494852
31, 1493688
32, 1507924
33, 1499880
34, 1540272
35, 1503740
36, 1584712
37, 1597756
38, 1517684
39, 1504048
40, 1547420
41, 1496296
42, 1493092
43, 1491900
44, 1491816
45, 1492168
46, 1537396
47, 1503584
48, 1492580
49, 1494536
50, 1494056
51, 1492808
52, 1536856
53, 1501680
54, 1493148
55, 1496160
56, 1492048
57, 1493564
58, 1527756
59, 1501804
60, 1493052
61, 1492172
62, 1493892
63, 1493116
64, 1524972
65, 1505928
66, 1491980
67, 1863708
68, 2135288
69, 1570124
70, 1574796
71, 1504312
72, 1497984
73, 1496756
74, 1495944
75, 1494732
76, 1535808
77, 1497188
78, 1520456
79, 1506584
80, 1494884
81, 1495776
82, 1536796
83, 1498284
84, 1493852
85, 1497384
86, 1497416
87, 1495728
88, 1539332
89, 1502460
90, 1495372
91, 1501864
92, 1504536
93, 1498100
94, 1534684
95, 1504044
96, 1495728
97, 1496740
98, 1493376
99, 1497084
100, 1533232
101, 1505972
102, 1498268
103, 1497160
104, 1494072
105, 1497884
106, 1527264
107, 1509936
108, 1495448
109, 1499060
110, 1513868
111, 1514832
112, 1531936
113, 1512532
114, 1497624
115, 1498340
116, 1497384
117, 1494680
118, 1530208
119, 1514012
120, 1494540
121, 1497024
122, 1497512
123, 1495308
124, 1528252
125, 1516636
126, 1497980
127, 1497832
128, 1496560
129, 1494136
130, 1528216
131, 1514864
132, 1500348
133, 1496176
134, 1496100
135, 1494156
136, 1495020
137, 1542740
138, 1499548
139, 1513852
140, 1495644
141, 1495416
142, 1495280
143, 1540752
144, 1500544
145, 1494648
146, 1497176
147, 1497888
148, 1496600
149, 1533560
150, 1503720
151, 1498276
152, 1494876
153, 1494176
154, 1495444
155, 1537328
156, 1512224
157, 1503988
158, 1505104
159, 1494856
160, 1498028
161, 1533468
162, 1505312
163, 1499624
164, 1496196
165, 1495424
166, 1495348
167, 1540936
168, 1508404
169, 1496972
170, 1494520
171, 1493528
172, 1495272
173, 1526428
174, 1511704
175, 1496352
176, 1494648
177, 1497148
178, 1494620
179, 1526508
180, 1511156
181, 1498944
182, 1495736
183, 1495796
184, 1495876
185, 1521000
186, 1512952
187, 1505808
188, 1496992
189, 1494848
190, 1496596
191, 1524012
192, 1510304
193, 1500252
194, 1497688
195, 1496008
196, 1496044
197, 1498160
198, 1540048
199, 1495680
200, 1499740
