Ciclos,cant_clock
1, 1609304
2, 1517612
3, 1505568
4, 1746612
5, 1948860
6, 2962372
7, 2244984
8, 1870072
9, 1703912
10, 1526960
11, 1502996
12, 1501524
13, 1503288
14, 1541404
15, 1512316
16, 1494052
17, 1490748
18, 1489420
19, 1490452
20, 1536796
21, 1512900
22, 1494848
23, 1494420
24, 1491100
25, 1501008
26, 1531472
27, 1514480
28, 1672208
29, 1717408
30, 1684392
31, 1600368
32, 1591232
33, 1521640
34, 1499508
35, 1497576
36, 1492328
37, 1490364
38, 1548488
39, 1506784
40, 1495812
41, 1489248
42, 1489968
43, 1489248
44, 1536712
45, 1515476
46, 1495728
47, 1491580
48, 1490300
49, 1490080
50, 1530244
51, 1513280
52, 1495164
53, 1587124
54, 1571032
55, 1507872
56, 1531584
57, 1514656
58, 1596232
59, 1523316
60, 1491360
61, 1488644
62, 1541792
63, 1516660
64, 1495316
65, 1494092
66, 1492880
67, 1498652
68, 1533288
69, 1511804
70, 1491680
71, 1493260
72, 1491180
73, 1497164
74, 1724468
75, 1987292
76, 1981224
77, 1546928
78, 1507236
79, 1496408
80, 1567068
81, 1502932
82, 1492724
83, 1545196
84, 1522832
85, 1498944
86, 1550804
87, 1501008
88, 1496700
89, 1496964
90, 1496636
91, 1496596
92, 1541924
93, 1499552
94, 1494764
95, 1496460
96, 1495232
97, 1495228
98, 1541620
99, 1503600
100, 1497908
101, 1495760
102, 1496828
103, 1499180
104, 1541428
105, 1505252
106, 1495692
107, 1495756
108, 1496720
109, 1496152
110, 1536980
111, 1506152
112, 1499460
113, 1498240
114, 1499400
115, 1497756
116, 1570156
117, 1523836
118, 1493700
119, 1490684
120, 1489572
121, 1489124
122, 1528704
123, 1511076
124, 1490840
125, 1490808
126, 1491024
127, 1500988
128, 1530908
129, 1515908
130, 1492536
131, 1491400
132, 1491920
133, 1489916
134, 1523668
135, 1511740
136, 1494556
137, 1490728
138, 1492184
139, 1491808
140, 1490860
141, 1546072
142, 1499824
143, 1491816
144, 1494764
145, 1496968
146, 1490268
147, 1554536
148, 1498364
149, 1492396
150, 1493304
151, 1490424
152, 1500512
153, 1546284
154, 1504260
155, 1492448
156, 1492928
157, 1489208
158, 1491736
159, 1540052
160, 1498340
161, 1493544
162, 1491324
163, 1491052
164, 1490940
165, 1527732
166, 1503688
167, 1492820
168, 1500820
169, 1495160
170, 1489020
171, 1525664
172, 1507580
173, 1492580
174, 1488964
175, 1492412
176, 1491812
177, 1519924
178, 1510188
179, 1494660
180, 1497108
181, 1495800
182, 1498304
183, 1527768
184, 1510248
185, 1494872
186, 1492668
187, 1499292
188, 1496712
189, 1531840
190, 1508224
191, 1491516
192, 1492384
193, 1492752
194, 1489600
195, 1498176
196, 1541984
197, 1493748
198, 1490672
199, 1493784
200, 1490912
