Ciclos,cant_clock
1, 5257356
2, 5091884
3, 5091460
4, 5088984
5, 5697656
6, 5127816
7, 5044996
8, 5079980
9, 5060976
10, 5045088
11, 5300608
12, 5064296
13, 5124512
14, 5052328
15, 5070872
16, 5030476
17, 5071432
18, 5064420
19, 5072536
20, 5056312
21, 5042368
22, 5052068
23, 5038400
24, 6012452
25, 5073380
26, 5087124
27, 5057332
28, 5045316
29, 5055024
30, 5040324
31, 5059732
32, 5032752
33, 5062888
34, 5029384
35, 5063228
36, 5055072
37, 5037160
38, 5053424
39, 5040800
40, 5059576
41, 5036768
42, 5062816
43, 5031668
44, 5078168
45, 5026456
46, 5065664
47, 5056712
48, 5179908
49, 5071476
50, 5038092
51, 5062080
52, 5034568
53, 5063780
54, 5026424
55, 5066224
56, 5059592
57, 5058864
58, 5063200
59, 5041876
60, 5055600
61, 5035244
62, 5060300
63, 5029804
64, 6797796
65, 8400464
66, 8428504
67, 8273236
68, 7499016
69, 5140592
70, 5189256
71, 5104968
72, 5335816
73, 5680564
74, 5981692
75, 6256284
76, 5059444
77, 5081308
78, 5054248
79, 5041960
80, 5053708
81, 5056068
82, 5076148
83, 5040044
84, 5070076
85, 5028992
86, 5074368
87, 5028500
88, 5071048
89, 5079528
90, 5199684
91, 5092200
92, 5040544
93, 5061604
94, 5029824
95, 5066868
96, 5034636
97, 5068816
98, 5062120
99, 5048120
100, 5053160
101, 5038712
102, 5064124
103, 5032332
104, 5065420
105, 5026756
106, 5064272
107, 5060156
108, 5049428
109, 5056892
110, 5042048
111, 5063736
112, 5037020
113, 5072548
114, 5034716
115, 5069552
116, 5029412
117, 5106292
118, 5084272
119, 5048620
120, 5054820
121, 5038356
122, 5058152
123, 5030828
124, 5065168
125, 5025536
126, 5066340
127, 5054052
128, 5038476
129, 5055564
130, 5040540
131, 5057500
132, 5035776
133, 5063080
134, 5030804
135, 5282204
136, 5085636
137, 5038560
138, 5052276
139, 5040164
140, 5057588
141, 5037344
142, 5062504
143, 5031000
144, 5064344
145, 5025888
146, 5065304
147, 5050944
148, 5041852
149, 5051196
150, 5037196
151, 5064556
152, 5028984
153, 5065060
154, 5027508
155, 5063860
156, 5069820
157, 5039244
158, 5055528
159, 5040000
160, 5053212
161, 5033816
162, 5065528
163, 5031412
164, 5062832
165, 5026364
166, 5063212
167, 5054300
168, 5044460
169, 5056844
170, 5039424
171, 5062076
172, 5032180
173, 5063724
174, 5027592
175, 5063420
176, 5052224
177, 5034928
178, 5053928
179, 5038804
180, 5053772
181, 5146940
182, 5077060
183, 5032800
184, 5068260
185, 5029420
186, 5067208
187, 5051336
188, 5041820
189, 5058428
190, 5036196
191, 5062292
192, 5030648
193, 5063040
194, 5026788
195, 5066252
196, 5054788
197, 5038108
198, 5056096
199, 5040428
200, 5055176
