Ciclos,cant_clock
1, 6624684
2, 6593480
3, 6568360
4, 6780908
5, 6586700
6, 6564108
7, 6557168
8, 6517976
9, 6541236
10, 6598236
11, 6497844
12, 6552460
13, 6524852
14, 6493536
15, 6550024
16, 6523988
17, 6541260
18, 6500788
19, 7587964
20, 6601492
21, 6543428
22, 6675272
23, 6623744
24, 6605040
25, 6534416
26, 6528280
27, 6532204
28, 6601284
29, 6501228
30, 6567576
31, 6548232
32, 6493760
33, 6534596
34, 6529548
35, 6524744
36, 6519900
37, 6527784
38, 6529376
39, 6488580
40, 6544136
41, 6531720
42, 6518880
43, 6505888
44, 6542784
45, 6519968
46, 6494380
47, 6567188
48, 6534444
49, 6519604
50, 6511548
51, 6597516
52, 6565400
53, 6520936
54, 6532356
55, 6549908
56, 6530308
57, 6504268
58, 6672616
59, 6563128
60, 6490184
61, 6532320
62, 6526568
63, 6530336
64, 6497320
65, 6559524
66, 6532052
67, 6502452
68, 6536588
69, 6543792
70, 6535228
71, 6498244
72, 6548768
73, 6520436
74, 6494848
75, 6538300
76, 6532260
77, 6499656
78, 6537724
79, 6546312
80, 6516192
81, 6508012
82, 6543856
83, 6527224
84, 6494576
85, 6536868
86, 6537716
87, 6690616
88, 6519400
89, 6544928
90, 6568280
91, 6522304
92, 6553712
93, 6562684
94, 6687640
95, 6520648
96, 6559004
97, 6537768
98, 6484084
99, 6552508
100, 6528024
101, 6529856
102, 6502544
103, 6551740
104, 6521596
105, 6494172
106, 6530224
107, 6534628
108, 6526272
109, 6495468
110, 6541576
111, 6537236
112, 6492468
113, 6534548
114, 6538320
115, 6542240
116, 6502420
117, 6532676
118, 6555084
119, 6500292
120, 6541876
121, 6540248
122, 6537904
123, 6500944
124, 6539928
125, 6541744
126, 6500924
127, 6542796
128, 6530920
129, 6548560
130, 6491208
131, 6563208
132, 6642120
133, 6513000
134, 6556432
135, 6535692
136, 6550132
137, 6496748
138, 6552760
139, 6518676
140, 6497140
141, 6549500
142, 6546164
143, 6497512
144, 6532520
145, 6554972
146, 6521840
147, 6504668
148, 6542180
149, 6542868
150, 6490932
151, 6554192
152, 6529304
153, 6521812
154, 6498468
155, 6537904
156, 6545296
157, 6515644
158, 6549468
159, 6543160
160, 6547224
161, 6491272
162, 6546768
163, 6553912
164, 6494540
165, 6551176
166, 6649888
167, 6533308
168, 6494964
169, 6526216
170, 6519516
171, 6488368
172, 6527432
173, 6517868
174, 6533236
175, 6625748
176, 6561196
177, 6595968
178, 6520992
179, 6578868
180, 6592360
181, 6556476
182, 6509472
183, 6548620
184, 6510720
185, 6508536
186, 6542412
187, 6520076
188, 6520668
189, 6498120
190, 6542572
191, 6548372
192, 6513384
193, 6543636
194, 6518220
195, 6518980
196, 6508580
197, 6539372
198, 7542852
199, 6661920
200, 6602416
