Ciclos,cant_clock
1, 2143372
2, 2163640
3, 2054224
4, 2043816
5, 2037688
6, 2119960
7, 2185976
8, 2066656
9, 2046864
10, 2163816
11, 2095988
12, 2039048
13, 2034504
14, 2039376
15, 2106572
16, 2054184
17, 2044688
18, 2038300
19, 2106096
20, 2081172
21, 2044592
22, 2038132
23, 2035572
24, 2101360
25, 2048364
26, 2038084
27, 2059732
28, 2457684
29, 2377968
30, 2149704
31, 2054884
32, 2090968
33, 2075260
34, 2038548
35, 2038596
36, 2040900
37, 2105916
38, 2044340
39, 2035196
40, 2035828
41, 2078184
42, 2068344
43, 2037928
44, 2032388
45, 2035936
46, 2102864
47, 2038516
48, 2040212
49, 2038924
50, 2076748
51, 2061264
52, 2035808
53, 2074312
54, 2085016
55, 2105920
56, 2042820
57, 2035252
58, 2034740
59, 2098456
60, 2061160
61, 2039132
62, 2038780
63, 2040580
64, 2100532
65, 2045064
66, 2042808
67, 2038564
68, 2089800
69, 2056380
70, 2038836
71, 2037568
72, 2030292
73, 2099576
74, 2042060
75, 2034484
76, 2034520
77, 2091808
78, 2055780
79, 2038736
80, 2035212
81, 2077844
82, 2071652
83, 2039668
84, 2041692
85, 2035376
86, 2107492
87, 2053828
88, 2035116
89, 2037356
90, 2078380
91, 2062104
92, 2037788
93, 2034880
94, 2037804
95, 2097728
96, 2047308
97, 2034384
98, 2042024
99, 2076148
100, 2065404
101, 2041924
102, 2034732
103, 2044188
104, 2106920
105, 2041696
106, 2035292
107, 2076568
108, 2126800
109, 2069780
110, 2035512
111, 2039460
112, 2041748
113, 2103784
114, 2039460
115, 2034684
116, 2039572
117, 2084916
118, 2065992
119, 2038488
120, 2037328
121, 2038852
122, 2107276
123, 2038724
124, 2036864
125, 2041016
126, 2086556
127, 2063300
128, 2041104
129, 2036528
130, 2034072
131, 2105440
132, 2039556
133, 2037808
134, 2034292
135, 2087508
136, 2060588
137, 2039280
138, 2038908
139, 2040340
140, 2105232
141, 2039472
142, 2034720
143, 2042840
144, 2087288
145, 2052804
146, 2036716
147, 2039464
148, 2075924
149, 2067812
150, 2040096
151, 2035272
152, 2036848
153, 2098612
154, 2052132
155, 2040388
156, 2038408
157, 2075916
158, 2067764
159, 2038864
160, 2038960
161, 2039524
162, 2100696
163, 2120400
164, 2087168
165, 2039956
166, 2681412
167, 2089228
168, 2057980
169, 2046532
170, 2083288
171, 2066956
172, 2038384
173, 2037792
174, 2037732
175, 2091344
176, 2047096
177, 2035768
178, 2038040
179, 2083692
180, 2066408
181, 2038832
182, 2033296
183, 2041164
184, 2105532
185, 2044100
186, 2038568
187, 2034288
188, 2253188
189, 2087764
190, 2043060
191, 2164872
192, 2076512
193, 2118900
194, 2043816
195, 2038056
196, 2040420
197, 2106216
198, 2062928
199, 2037348
200, 2039300
