Ciclos,cant_clock
1, 2314540
2, 2081076
3, 2039144
4, 2024964
5, 2116552
6, 2061724
7, 2031372
8, 2029952
9, 2068860
10, 2067452
11, 2101184
12, 2037280
13, 2027420
14, 2109228
15, 2044488
16, 2029260
17, 2027588
18, 2077372
19, 2067020
20, 2027840
21, 2030088
22, 2025124
23, 2123308
24, 2037440
25, 2023628
26, 2028212
27, 2072452
28, 2056432
29, 2030964
30, 2027252
31, 2023644
32, 2102612
33, 2088120
34, 2096016
35, 2082220
36, 2383356
37, 2530612
38, 2241440
39, 2128576
40, 2126700
41, 2070708
42, 2028528
43, 2033328
44, 2021808
45, 2103280
46, 2036192
47, 2023688
48, 2027520
49, 2079588
50, 2050340
51, 2074440
52, 2108652
53, 2074640
54, 2191576
55, 2087400
56, 2094432
57, 2076736
58, 2174264
59, 2176712
60, 2119188
61, 2107188
62, 2163432
63, 2122556
64, 2076620
65, 2052812
66, 2032668
67, 2112820
68, 2035400
69, 2027748
70, 2027656
71, 2090568
72, 2053332
73, 2030832
74, 2026504
75, 2025176
76, 2100144
77, 2032792
78, 2027048
79, 2026096
80, 2090032
81, 2050616
82, 2025188
83, 2026312
84, 2076312
85, 2062124
86, 2028044
87, 2028348
88, 2026396
89, 2092792
90, 2045568
91, 2029432
92, 2024520
93, 2069636
94, 2060344
95, 2030108
96, 2024816
97, 2027892
98, 2092936
99, 2045012
100, 2023976
101, 2025964
102, 2071108
103, 2064432
104, 2042896
105, 2025296
106, 2027800
107, 2098748
108, 2045392
109, 2024840
110, 2029344
111, 2256180
112, 2070812
113, 2028148
114, 2031020
115, 2027296
116, 2100892
117, 2029728
118, 2028268
119, 2027396
120, 2073712
121, 2055500
122, 2034716
123, 2024344
124, 2023432
125, 2103900
126, 2036280
127, 2027788
128, 2025844
129, 2073156
130, 2056552
131, 2030856
132, 2025248
133, 2029364
134, 2105112
135, 2034560
136, 2023628
137, 2023788
138, 2074704
139, 2057100
140, 2026568
141, 2029200
142, 2026612
143, 2108048
144, 2029056
145, 2025364
146, 2025108
147, 2076740
148, 2057556
149, 2024136
150, 2024480
151, 2027100
152, 2100140
153, 2032036
154, 2029532
155, 2024784
156, 2079860
157, 2101920
158, 2086604
159, 2037924
160, 2029464
161, 2111348
162, 2030936
163, 2024692
164, 2026072
165, 2099420
166, 2060424
167, 2028524
168, 2027620
169, 2025304
170, 2099580
171, 2032300
172, 2029172
173, 2026548
174, 2266928
175, 2081164
176, 2033436
177, 2028336
178, 2080844
179, 2069212
180, 2032296
181, 2025740
182, 2025032
183, 2096200
184, 2047696
185, 2028756
186, 2024648
187, 2074196
188, 2061344
189, 2028244
190, 2024300
191, 2024352
192, 2097736
193, 2038604
194, 2027108
195, 2023704
196, 2070232
197, 2059712
198, 2030212
199, 2025964
200, 2025896
