Ciclos,cant_clock
1, 591319
2, 594975
3, 587627
4, 588122
5, 587753
6, 639860
7, 386231
8, 235777
9, 235409
10, 235665
11, 235317
12, 235083
13, 234987
14, 234961
15, 235895
16, 235394
17, 235167
18, 234999
19, 235217
20, 235137
21, 236934
22, 236628
23, 235424
24, 275322
25, 237881
26, 281236
27, 239438
28, 284759
29, 303102
30, 312704
31, 241684
32, 285357
33, 305164
34, 308250
35, 237820
36, 236904
37, 236643
38, 238088
39, 235237
40, 235347
41, 235313
42, 278442
43, 237609
44, 243846
45, 243965
46, 237494
47, 237644
48, 238042
49, 236329
50, 235455
51, 238015
52, 237709
53, 236160
54, 235946
55, 235953
56, 235240
57, 237947
58, 242458
59, 240319
60, 238204
61, 278043
62, 243838
63, 236889
64, 236290
65, 236747
66, 235600
67, 238334
68, 241101
69, 241029
70, 238456
71, 238315
72, 313528
73, 237057
74, 235447
75, 235800
76, 234926
77, 234945
78, 234876
79, 235432
80, 258915
81, 236815
82, 235030
83, 235382
84, 235228
85, 235306
86, 234941
87, 235501
88, 234780
89, 235405
90, 234960
91, 235271
92, 234857
93, 234845
94, 234769
95, 234945
96, 235014
97, 235240
98, 235068
99, 234964
100, 234964
101, 234654
102, 234780
103, 235516
104, 234918
105, 235225
106, 234876
107, 234443
108, 234765
109, 234891
110, 234953
111, 235052
112, 234884
113, 235010
114, 235328
115, 234888
116, 235397
117, 235294
118, 234811
119, 266926
120, 226702
121, 204744
122, 204408
123, 204644
124, 204480
125, 204512
126, 204488
127, 204344
128, 204180
129, 204516
130, 204468
131, 204736
132, 204472
133, 204492
134, 204232
135, 203956
136, 204468
137, 204520
138, 204756
139, 204184
140, 204480
141, 204240
142, 204520
143, 204540
144, 204700
145, 204324
146, 204820
147, 204908
148, 204568
149, 204388
150, 204432
151, 204208
152, 204784
153, 204264
154, 204608
155, 204548
156, 204384
157, 204328
158, 204436
159, 254752
160, 206340
161, 228100
162, 213100
163, 220324
164, 205284
165, 204120
166, 204760
167, 204488
168, 204268
169, 204332
170, 204524
171, 204740
172, 204764
173, 223076
174, 253588
175, 260040
176, 273444
177, 278824
178, 275944
179, 244580
180, 209180
181, 208184
182, 213656
183, 214460
184, 212876
185, 209988
186, 206792
187, 206704
188, 204584
189, 205120
190, 206772
191, 206768
192, 205792
193, 204608
194, 206552
195, 209384
196, 206772
197, 204544
198, 205660
199, 205060
200, 205176
