Ciclos,cant_clock
1, 4368902
2, 1989800
3, 1985424
4, 2259888
5, 2873892
6, 2033464
7, 2191656
8, 2004176
9, 2028140
10, 1986876
11, 1984276
12, 1984464
13, 1985652
14, 2004976
15, 1986896
16, 1986864
17, 2030896
18, 3082728
19, 3216196
20, 2538664
21, 2114552
22, 2224628
23, 2000200
24, 1989484
25, 1984060
26, 2009012
27, 1985428
28, 1983592
29, 1985280
30, 1984048
31, 2041328
32, 2186696
33, 1989712
34, 1985624
35, 2000572
36, 2634224
37, 2001076
38, 2025716
39, 1986812
40, 2004872
41, 1987224
42, 1986080
43, 1982780
44, 1996984
45, 1986848
46, 1984252
47, 1985176
48, 1984944
49, 1994468
50, 1983324
51, 2125008
52, 1987796
53, 2002300
54, 2004016
55, 1986764
56, 1985880
57, 1984416
58, 1997232
59, 1984560
60, 1984776
61, 1983280
62, 1985616
63, 1993556
64, 1987788
65, 1985632
66, 1984088
67, 1994704
68, 1985264
69, 1985464
70, 1984648
71, 1984648
72, 2070464
73, 2535192
74, 2064764
75, 2006300
76, 2006388
77, 1984168
78, 1984844
79, 1984456
80, 1985332
81, 1993948
82, 1984360
83, 1985988
84, 1983984
85, 1990580
86, 1985760
87, 1982920
88, 1984168
89, 1985028
90, 1991040
91, 1985708
92, 1984976
93, 1984220
94, 1984280
95, 1991820
96, 1985752
97, 1983900
98, 1986108
99, 1991124
100, 1985580
101, 1982320
102, 1984824
103, 1986312
104, 1992504
105, 1983564
106, 1984132
107, 1985760
108, 1992944
109, 1985408
110, 1984180
111, 1985560
112, 1985300
113, 1990808
114, 1986076
115, 1984936
116, 1985824
117, 1984636
118, 1992580
119, 1985640
120, 1984816
121, 1985448
122, 1992264
123, 1986140
124, 1985908
125, 1985704
126, 1983468
127, 1991620
128, 1986200
129, 1985656
130, 1983876
131, 1985412
132, 1991152
133, 1984924
134, 1983744
135, 1983580
136, 2002576
137, 1986732
138, 1984988
139, 1984620
140, 1984220
141, 1992240
142, 1985464
143, 1983440
144, 1984184
145, 1992704
146, 1984132
147, 1983972
148, 1983288
149, 1984676
150, 1993320
151, 1985920
152, 1985168
153, 1982824
154, 1984788
155, 1991096
156, 1984012
157, 1984056
158, 1985920
159, 1990752
160, 1984656
161, 1985800
162, 1983148
163, 1986144
164, 1992452
165, 1985804
166, 1983420
167, 1984420
168, 1985764
169, 1992380
170, 1987460
171, 1985816
172, 2000616
173, 1997404
174, 1985032
175, 1985300
176, 1983104
177, 1985064
178, 2009044
179, 1987280
180, 1985160
181, 1985100
182, 1994140
183, 1984692
184, 1983936
185, 1986760
186, 1984400
187, 1993264
188, 1985452
189, 1984356
190, 1983816
191, 1983964
192, 1992068
193, 1986600
194, 1985380
195, 1985636
196, 1990572
197, 1985092
198, 1985200
199, 1985780
200, 1983232
