Ciclos,cant_clock
1, 253076
2, 256450
3, 252410
4, 252061
5, 252536
6, 252429
7, 251892
8, 252203
9, 251777
10, 252785
11, 252682
12, 279120
13, 254488
14, 252018
15, 253533
16, 253495
17, 263108
18, 282954
19, 281056
20, 366697
21, 308955
22, 270139
23, 371036
24, 411769
25, 375827
26, 370017
27, 359275
28, 378365
29, 400434
30, 401151
31, 387178
32, 353909
33, 371565
34, 374689
35, 372427
36, 362507
37, 369158
38, 373497
39, 359892
40, 266133
41, 269035
42, 259149
43, 260057
44, 269177
45, 262426
46, 260398
47, 260092
48, 255518
49, 252533
50, 252900
51, 253993
52, 261073
53, 258213
54, 254522
55, 253130
56, 252701
57, 253119
58, 253778
59, 253242
60, 253337
61, 299525
62, 291341
63, 255431
64, 266244
65, 357531
66, 257056
67, 253226
68, 256630
69, 259118
70, 258443
71, 258996
72, 262591
73, 257362
74, 293320
75, 221084
76, 219420
77, 219164
78, 218976
79, 219296
80, 219204
81, 218936
82, 218788
83, 219384
84, 219032
85, 219276
86, 218796
87, 219352
88, 220008
89, 219720
90, 219408
91, 219036
92, 219412
93, 219456
94, 219364
95, 219428
96, 219860
97, 219420
98, 219224
99, 219196
100, 219452
101, 219376
102, 219276
103, 218988
104, 219028
105, 219396
106, 219084
107, 219212
108, 218856
109, 219136
110, 219008
111, 219292
112, 219196
113, 219216
114, 219048
115, 247176
116, 220972
117, 219232
118, 219480
119, 219692
120, 219520
121, 219072
122, 219464
123, 219244
124, 219420
125, 219604
126, 219192
127, 219568
128, 219648
129, 219304
130, 219420
131, 219532
132, 219384
133, 219556
134, 219332
135, 219028
136, 219808
137, 219088
138, 219576
139, 219120
140, 219700
141, 219592
142, 219628
143, 219680
144, 219780
145, 219212
146, 219004
147, 219496
148, 219480
149, 219192
150, 219272
151, 218968
152, 219468
153, 219308
154, 219164
155, 220000
156, 219768
157, 232096
158, 220552
159, 219880
160, 290768
161, 334056
162, 342196
163, 348420
164, 323516
165, 312972
166, 326520
167, 328132
168, 311732
169, 305736
170, 226924
171, 223872
172, 229312
173, 222844
174, 221204
175, 221776
176, 266236
177, 261424
178, 230644
179, 222052
180, 219580
181, 218988
182, 218880
183, 219476
184, 219128
185, 219496
186, 219440
187, 219516
188, 219452
189, 219168
190, 219816
191, 219380
192, 219672
193, 252640
194, 220736
195, 219820
196, 219424
197, 218952
198, 219144
199, 219656
200, 219220
