Ciclos,cant_clock
1, 717648
2, 740900
3, 715660
4, 714660
5, 716684
6, 718072
7, 787660
8, 970708
9, 1011076
10, 1023176
11, 982992
12, 720220
13, 751028
14, 716304
15, 834680
16, 1077672
17, 1088504
18, 1142752
19, 1083584
20, 1222500
21, 1130924
22, 1041970
23, 801304
24, 742152
25, 595504
26, 603156
27, 600676
28, 682576
29, 594756
30, 590752
31, 591348
32, 590728
33, 589296
34, 589888
35, 588476
36, 613996
37, 592100
38, 589696
39, 588540
40, 590928
41, 591208
42, 590368
43, 590704
44, 591296
45, 590820
46, 590344
47, 591148
48, 590772
49, 590972
50, 590596
51, 590452
52, 598268
53, 591404
54, 590464
55, 593972
56, 591884
57, 597452
58, 612716
59, 612572
60, 600052
61, 591392
62, 682024
63, 664732
64, 609980
65, 595116
66, 590368
67, 664300
68, 605144
69, 622396
70, 590664
71, 590224
72, 685220
73, 677192
74, 593500
75, 591396
76, 590964
77, 590912
78, 590428
79, 589040
80, 588684
81, 590560
82, 613556
83, 591020
84, 590604
85, 778936
86, 807220
87, 765744
88, 913432
89, 613792
90, 597480
91, 684760
92, 592784
93, 589644
94, 589008
95, 589580
96, 615272
97, 592020
98, 591096
99, 589980
100, 591352
101, 589124
102, 588828
103, 590672
104, 589944
105, 591120
106, 590848
107, 590148
108, 591004
109, 590412
110, 590552
111, 602176
112, 591112
113, 589892
114, 588132
115, 590712
116, 590356
117, 589908
118, 630208
119, 591964
120, 590624
121, 588048
122, 591164
123, 590384
124, 591032
125, 588460
126, 623052
127, 606768
128, 592472
129, 591292
130, 590576
131, 618596
132, 592768
133, 588928
134, 590948
135, 752888
136, 594312
137, 590644
138, 590808
139, 590452
140, 591176
141, 591360
142, 608008
143, 591468
144, 591360
145, 590228
146, 590632
147, 590408
148, 590544
149, 590116
150, 591096
151, 590552
152, 591336
153, 590796
154, 589980
155, 589988
156, 591132
157, 602716
158, 592052
159, 591572
160, 590260
161, 590616
162, 590688
163, 589596
164, 588592
165, 591036
166, 590632
167, 590288
168, 589932
169, 591488
170, 591324
171, 590928
172, 590368
173, 599424
174, 591352
175, 591464
176, 590532
177, 587680
178, 590740
179, 590472
180, 589880
181, 591256
182, 591332
183, 590936
184, 590252
185, 590568
186, 590468
187, 591316
188, 597560
189, 591720
190, 591424
191, 590976
192, 591040
193, 590608
194, 589860
195, 590888
196, 591172
197, 590504
198, 590668
199, 612312
200, 591344
