Ciclos,cant_clock
1, 666241
2, 670956
3, 663654
4, 662883
5, 739404
6, 669288
7, 662941
8, 663170
9, 663102
10, 657335
11, 511504
12, 517232
13, 511740
14, 516788
15, 634815
16, 521388
17, 510264
18, 514608
19, 518284
20, 519300
21, 513142
22, 246976
23, 244100
24, 247124
25, 246568
26, 247776
27, 241000
28, 235688
29, 239160
30, 241340
31, 242740
32, 240232
33, 234640
34, 235324
35, 232172
36, 230800
37, 232724
38, 233996
39, 232300
40, 232172
41, 231440
42, 231336
43, 232696
44, 236552
45, 235624
46, 232924
47, 233104
48, 232296
49, 231440
50, 231168
51, 232404
52, 234028
53, 234372
54, 234216
55, 231312
56, 230612
57, 230700
58, 230664
59, 269424
60, 233324
61, 230564
62, 230752
63, 230616
64, 230492
65, 230568
66, 230488
67, 371628
68, 234380
69, 242980
70, 234228
71, 231248
72, 231724
73, 234004
74, 245124
75, 237860
76, 232700
77, 232460
78, 231344
79, 230992
80, 232408
81, 233640
82, 232392
83, 231692
84, 231056
85, 231360
86, 235368
87, 235468
88, 234156
89, 234280
90, 241916
91, 233800
92, 232532
93, 233904
94, 232024
95, 232344
96, 231708
97, 291652
98, 237748
99, 236016
100, 234624
101, 234544
102, 238672
103, 233736
104, 230628
105, 230656
106, 230728
107, 230548
108, 230580
109, 230600
110, 230576
111, 230604
112, 230556
113, 230624
114, 230628
115, 230632
116, 230708
117, 230608
118, 230620
119, 230596
120, 230704
121, 230584
122, 230548
123, 230532
124, 230716
125, 230500
126, 230604
127, 230664
128, 230564
129, 230504
130, 230560
131, 230500
132, 230512
133, 230580
134, 230564
135, 230604
136, 230536
137, 254144
138, 233000
139, 230640
140, 230656
141, 230636
142, 230704
143, 230604
144, 230608
145, 230520
146, 230660
147, 230636
148, 230588
149, 231012
150, 243700
151, 243260
152, 245828
153, 248256
154, 248184
155, 246936
156, 238440
157, 237064
158, 238980
159, 243376
160, 240112
161, 238856
162, 235852
163, 232640
164, 231100
165, 232216
166, 233396
167, 233120
168, 231180
169, 233148
170, 234636
171, 233252
172, 231692
173, 231992
174, 231800
175, 231152
176, 283000
177, 249196
178, 235920
179, 232104
180, 230612
181, 230700
182, 230644
183, 230632
184, 230660
185, 230604
186, 230616
187, 230696
188, 230640
189, 230632
190, 230584
191, 230612
192, 230728
193, 230612
194, 230600
195, 230680
196, 230608
197, 230644
198, 230604
199, 230624
200, 230668
