Ciclos,cant_clock
1, 2230936
2, 2229412
3, 2226504
4, 2610137
5, 3094948
6, 3299175
7, 4145120
8, 2429568
9, 2228328
10, 2224168
11, 1956078
12, 1840180
13, 1838400
14, 1838108
15, 1839060
16, 1876944
17, 1838732
18, 1839004
19, 1836772
20, 1838504
21, 1850356
22, 1842416
23, 2178172
24, 2916928
25, 2171368
26, 1940384
27, 1874328
28, 1843740
29, 1837656
30, 1861276
31, 1836932
32, 1837800
33, 1837928
34, 1835476
35, 1850576
36, 1841232
37, 1841340
38, 1841196
39, 1850888
40, 1839452
41, 1836288
42, 2272216
43, 2416716
44, 1891720
45, 1919172
46, 1840760
47, 1840628
48, 1838820
49, 1858428
50, 1840820
51, 1840040
52, 1840060
53, 1839488
54, 1848452
55, 1838836
56, 1836564
57, 1836344
58, 1837188
59, 1848156
60, 1844908
61, 1842828
62, 2033400
63, 1841032
64, 1858236
65, 1839176
66, 1837016
67, 1836996
68, 1837092
69, 1849920
70, 1839684
71, 1838340
72, 1838372
73, 1837752
74, 1847144
75, 1838008
76, 1842444
77, 1844732
78, 1843388
79, 1849088
80, 1842312
81, 1838976
82, 1840384
83, 1864404
84, 1849612
85, 1838460
86, 1904524
87, 1954580
88, 2524596
89, 1904208
90, 1842112
91, 1838544
92, 1839444
93, 1853100
94, 1839740
95, 1837776
96, 1836832
97, 1837800
98, 1848152
99, 1841832
100, 1840332
101, 1841740
102, 1839760
103, 1846520
104, 1838968
105, 1839868
106, 1841000
107, 1839976
108, 1846780
109, 1837648
110, 1837368
111, 1838416
112, 1840736
113, 1846684
114, 1838568
115, 1836640
116, 1837568
117, 1836812
118, 1845984
119, 1844388
120, 1838436
121, 1838368
122, 1837992
123, 1847020
124, 1839576
125, 1839092
126, 1841820
127, 1837768
128, 1846700
129, 1838568
130, 1894576
131, 1843252
132, 1839908
133, 1850004
134, 1839400
135, 1840584
136, 1840356
137, 1838388
138, 1847828
139, 1836972
140, 1836668
141, 1837980
142, 1838672
143, 1846100
144, 1840096
145, 1837168
146, 1837912
147, 1838272
148, 1854204
149, 1842228
150, 1836572
151, 1840460
152, 1837168
153, 1846008
154, 1839208
155, 1838076
156, 1836632
157, 1838288
158, 1846260
159, 1837220
160, 1842236
161, 1836972
162, 1838092
163, 1845892
164, 1838340
165, 1839344
166, 1836640
167, 1840968
168, 1844780
169, 1838948
170, 1838488
171, 1835608
172, 1844568
173, 1845436
174, 1841264
175, 1837124
176, 1837880
177, 1838060
178, 1847056
179, 1836528
180, 1843536
181, 1837348
182, 1837440
183, 1846424
184, 1837168
185, 1842228
186, 1837292
187, 1840200
188, 1846680
189, 1837940
190, 1843928
191, 1837612
192, 1839292
193, 1845136
194, 1841480
195, 1839512
196, 1838752
197, 1837252
198, 1847004
199, 1841176
200, 1839640
