Ciclos,cant_clock
1, 1071492
2, 1130148
3, 725416
4, 713136
5, 732776
6, 699640
7, 698916
8, 700612
9, 704804
10, 729368
11, 712320
12, 702720
13, 709536
14, 704008
15, 742726
16, 712500
17, 658908
18, 650212
19, 660776
20, 742680
21, 642892
22, 637748
23, 638300
24, 638572
25, 638952
26, 638024
27, 637740
28, 638516
29, 664864
30, 639412
31, 637840
32, 638120
33, 638008
34, 638484
35, 637712
36, 637196
37, 637340
38, 638316
39, 637400
40, 637752
41, 638088
42, 638720
43, 675340
44, 639424
45, 637908
46, 758748
47, 643168
48, 638256
49, 637676
50, 637476
51, 638048
52, 925980
53, 899212
54, 676580
55, 767652
56, 710140
57, 652840
58, 725832
59, 665276
60, 646856
61, 653220
62, 673684
63, 638944
64, 638012
65, 640684
66, 647668
67, 705916
68, 648508
69, 648392
70, 698160
71, 723696
72, 641304
73, 638128
74, 638228
75, 638536
76, 638084
77, 638884
78, 638352
79, 638888
80, 638264
81, 638228
82, 638392
83, 638612
84, 665216
85, 640308
86, 638036
87, 638052
88, 638148
89, 637904
90, 637848
91, 638552
92, 638748
93, 637988
94, 637804
95, 638824
96, 637532
97, 649992
98, 657996
99, 640320
100, 638528
101, 638088
102, 638496
103, 639256
104, 637516
105, 637864
106, 638064
107, 638484
108, 637992
109, 638740
110, 638568
111, 638060
112, 638492
113, 662408
114, 687968
115, 697000
116, 642796
117, 638512
118, 638316
119, 637224
120, 637492
121, 637776
122, 637636
123, 637940
124, 637832
125, 638052
126, 638844
127, 656084
128, 639544
129, 638236
130, 638064
131, 638336
132, 638224
133, 637860
134, 638480
135, 638524
136, 637520
137, 638040
138, 638384
139, 638800
140, 638712
141, 649716
142, 638656
143, 637980
144, 692504
145, 640932
146, 638436
147, 638344
148, 638736
149, 638572
150, 638112
151, 639088
152, 638180
153, 638328
154, 637856
155, 638132
156, 650548
157, 638796
158, 651908
159, 662156
160, 640004
161, 638040
162, 638400
163, 638628
164, 637696
165, 638924
166, 639408
167, 638624
168, 638580
169, 638452
170, 651012
171, 639152
172, 638220
173, 638688
174, 660548
175, 638480
176, 638464
177, 638016
178, 638636
179, 638732
180, 638192
181, 637764
182, 638780
183, 637240
184, 958948
185, 761972
186, 914136
187, 834216
188, 858932
189, 647640
190, 643052
191, 642124
192, 644000
193, 642756
194, 643468
195, 642100
196, 642576
197, 666552
198, 642788
199, 643156
200, 642516
