Ciclos,cant_clock
1, 2386284
2, 1858680
3, 1811424
4, 1810184
5, 1810616
6, 1809256
7, 1824084
8, 1810784
9, 1809952
10, 1810132
11, 1809976
12, 1833052
13, 1825276
14, 1824784
15, 1824524
16, 1825092
17, 1830896
18, 2343168
19, 2341196
20, 2033764
21, 1859752
22, 2110244
23, 1936668
24, 1859664
25, 1828680
26, 1856956
27, 1811512
28, 1809812
29, 1810580
30, 1809668
31, 1810128
32, 1835668
33, 1825924
34, 1824840
35, 1824396
36, 1825044
37, 1821628
38, 1810532
39, 1809508
40, 1809896
41, 1810636
42, 1871808
43, 1857292
44, 1827332
45, 1824712
46, 1824456
47, 1839648
48, 1825772
49, 1824368
50, 1824488
51, 1823988
52, 1834716
53, 1825464
54, 1824740
55, 1824696
56, 1824532
57, 1820996
58, 1810684
59, 1809876
60, 1810720
61, 1809732
62, 1817328
63, 1810120
64, 1809776
65, 1809988
66, 1810316
67, 1822376
68, 1810360
69, 1824764
70, 1824432
71, 1825004
72, 1831776
73, 1825084
74, 1824256
75, 1824728
76, 1824644
77, 1831292
78, 1825336
79, 1824744
80, 1823928
81, 1824712
82, 1823620
83, 1810828
84, 1810148
85, 1810036
86, 1810928
87, 1825296
88, 1825052
89, 1824976
90, 1824664
91, 1824640
92, 1823784
93, 1810544
94, 1809836
95, 1809596
96, 1822060
97, 1821480
98, 1810168
99, 1809532
100, 1809632
101, 1810288
102, 1824544
103, 1825256
104, 1824716
105, 1824460
106, 1824708
107, 2063036
108, 2272268
109, 1830480
110, 1824356
111, 1824704
112, 1847856
113, 1826396
114, 1824716
115, 1825200
116, 1824800
117, 1823312
118, 1810744
119, 1809620
120, 1810092
121, 1809896
122, 1828304
123, 1824740
124, 1824608
125, 1824340
126, 1824668
127, 1825800
128, 1810908
129, 1809680
130, 1809860
131, 1810016
132, 1825236
133, 1810496
134, 1810764
135, 1809692
136, 1809816
137, 1824892
138, 1825272
139, 1824528
140, 1824576
141, 1825052
142, 1826332
143, 1810160
144, 1809896
145, 1809900
146, 1810580
147, 1826408
148, 1810408
149, 1809844
150, 1824488
151, 1824544
152, 1838252
153, 1811648
154, 1810388
155, 1810540
156, 1823920
157, 1833704
158, 1825764
159, 1825172
160, 1824604
161, 1824876
162, 1827724
163, 1810396
164, 1809960
165, 1809988
166, 1810920
167, 1828748
168, 1810692
169, 1810160
170, 1810032
171, 1810472
172, 1818812
173, 1810540
174, 1809888
175, 1810008
176, 1810184
177, 1817688
178, 1824992
179, 1824572
180, 1824584
181, 1824664
182, 1831444
183, 1825064
184, 1824404
185, 1824544
186, 1824984
187, 1831808
188, 1810688
189, 1810236
190, 1809788
191, 1810288
192, 1809776
193, 1817952
194, 1810172
195, 1809728
196, 1810072
197, 1809660
198, 1818724
199, 1810156
200, 1809792
