Ciclos,cant_clock
1, 806532
2, 783728
3, 778688
4, 779304
5, 777880
6, 778900
7, 778092
8, 778416
9, 785108
10, 813212
11, 781244
12, 778548
13, 778300
14, 778600
15, 779112
16, 778844
17, 804648
18, 1077740
19, 1125128
20, 951956
21, 913372
22, 968680
23, 887200
24, 1034152
25, 909488
26, 860584
27, 786776
28, 778304
29, 777716
30, 777580
31, 837828
32, 784500
33, 778700
34, 778324
35, 778220
36, 777860
37, 778428
38, 777912
39, 779168
40, 777940
41, 778128
42, 778976
43, 795428
44, 780336
45, 777992
46, 777748
47, 779284
48, 779188
49, 777744
50, 777612
51, 778136
52, 778804
53, 777944
54, 807532
55, 782648
56, 777736
57, 778576
58, 778684
59, 777996
60, 779396
61, 778408
62, 778560
63, 778392
64, 844884
65, 1105372
66, 1178384
67, 945152
68, 830896
69, 880500
70, 788880
71, 778008
72, 777656
73, 777776
74, 778572
75, 778260
76, 822344
77, 781592
78, 779804
79, 778528
80, 778184
81, 778484
82, 778696
83, 778032
84, 778128
85, 777964
86, 777700
87, 777928
88, 797004
89, 780820
90, 779484
91, 778492
92, 778560
93, 778580
94, 778760
95, 779444
96, 779044
97, 778168
98, 778696
99, 778876
100, 807300
101, 781792
102, 778396
103, 778104
104, 778116
105, 778652
106, 778268
107, 778476
108, 778544
109, 778544
110, 778320
111, 778108
112, 932068
113, 846704
114, 782832
115, 777408
116, 777060
117, 778108
118, 778092
119, 778328
120, 778140
121, 778024
122, 778420
123, 814120
124, 782408
125, 778080
126, 779088
127, 777736
128, 778372
129, 778324
130, 778188
131, 779000
132, 777812
133, 779508
134, 778208
135, 791656
136, 779156
137, 778180
138, 777864
139, 778604
140, 778604
141, 778160
142, 777712
143, 778176
144, 778752
145, 778776
146, 778112
147, 789460
148, 778712
149, 778372
150, 777796
151, 777776
152, 778232
153, 778368
154, 778196
155, 777820
156, 1113660
157, 1030700
158, 1006756
159, 1072900
160, 850332
161, 785812
162, 782568
163, 781648
164, 782944
165, 782208
166, 782040
167, 782560
168, 782120
169, 804260
170, 783532
171, 783208
172, 781744
173, 782764
174, 782308
175, 782388
176, 781944
177, 782456
178, 781688
179, 781756
180, 791984
181, 783912
182, 782164
183, 782160
184, 782364
185, 783108
186, 782760
187, 782356
188, 782380
189, 782724
190, 781584
191, 781888
192, 793336
193, 782924
194, 782156
195, 782080
196, 781512
197, 781752
198, 781592
199, 782796
200, 782436
