Ciclos,cant_clock
1, 2355796
2, 2377900
3, 2331148
4, 2325684
5, 2418692
6, 2457348
7, 2388160
8, 2353340
9, 2631404
10, 3733396
11, 2757448
12, 2416472
13, 2530620
14, 2435744
15, 2373532
16, 2369112
17, 2479868
18, 2541136
19, 2460156
20, 2364704
21, 2328048
22, 2324144
23, 2324808
24, 2360688
25, 2330096
26, 2322780
27, 2323028
28, 2337848
29, 2458504
30, 2341904
31, 2326660
32, 2366240
33, 2394976
34, 2379416
35, 2357396
36, 2410124
37, 2343032
38, 2326032
39, 2324636
40, 2365380
41, 2328832
42, 3130532
43, 2761928
44, 2358068
45, 2376016
46, 2346204
47, 2439668
48, 3600200
49, 3695952
50, 3594364
51, 2769500
52, 2335248
53, 2360380
54, 2327284
55, 2324056
56, 2324328
57, 2346612
58, 2324856
59, 2323996
60, 2451396
61, 2341892
62, 2325940
63, 3422212
64, 3762420
65, 3561560
66, 2942392
67, 2374180
68, 2327724
69, 2324992
70, 2324936
71, 2357808
72, 2347048
73, 2323276
74, 2573120
75, 2364260
76, 2327128
77, 3334896
78, 3760344
79, 3552320
80, 2410448
81, 2372816
82, 2329212
83, 2324436
84, 2345292
85, 2357088
86, 2326732
87, 2324748
88, 2345516
89, 2358916
90, 2326852
91, 2471568
92, 2469600
93, 2343656
94, 2328632
95, 2323496
96, 2363232
97, 2329948
98, 2322180
99, 2346348
100, 2357500
101, 2327544
102, 2323904
103, 2344252
104, 2350160
105, 2326748
106, 2325496
107, 2323756
108, 2337532
109, 2326988
110, 2322156
111, 2345712
112, 2355236
113, 2325380
114, 2345604
115, 2322472
116, 2333728
117, 2326980
118, 2325960
119, 2327456
120, 2347396
121, 2327164
122, 2345228
123, 2324656
124, 2338796
125, 2328996
126, 2324716
127, 2325592
128, 2332412
129, 2325572
130, 2322848
131, 2324500
132, 2342168
133, 2324540
134, 2325192
135, 2321832
136, 2334400
137, 2325556
138, 2324156
139, 2344644
140, 2338040
141, 2325868
142, 2346552
143, 2346072
144, 2357060
145, 2325028
146, 2345048
147, 2324216
148, 2339008
149, 2325912
150, 2325852
151, 2354348
152, 2348880
153, 2324668
154, 2323748
155, 2334800
156, 2326672
157, 2468464
158, 2328028
159, 2336344
160, 2326968
161, 2347088
162, 2324776
163, 2339268
164, 2375820
165, 2332388
166, 2323132
167, 2355804
168, 2326852
169, 2324944
170, 2345528
171, 2333632
172, 2327196
173, 2325848
174, 2323080
175, 2333220
176, 2325948
177, 2345640
178, 2323520
179, 2337048
180, 2326772
181, 2321916
182, 2325076
183, 2336960
184, 2325932
185, 2323988
186, 2325264
187, 2335932
188, 2326824
189, 2324648
190, 2325484
191, 2342424
192, 2327424
193, 2323748
194, 2323560
195, 2340216
196, 2326008
197, 2344468
198, 2324904
199, 2335024
200, 2325252
