Ciclos,cant_clock
1, 1030144
2, 1013806
3, 1072348
4, 1122230
5, 1032386
6, 992512
7, 991640
8, 1027149
9, 950428
10, 947728
11, 949080
12, 948332
13, 945924
14, 947420
15, 948328
16, 947040
17, 946188
18, 982640
19, 949464
20, 947440
21, 947244
22, 946380
23, 946972
24, 946364
25, 958476
26, 952744
27, 963528
28, 948368
29, 947812
30, 948312
31, 1004736
32, 963532
33, 949760
34, 961004
35, 950452
36, 946956
37, 979720
38, 1016496
39, 1022464
40, 1149620
41, 983284
42, 972676
43, 975060
44, 966472
45, 979600
46, 1018860
47, 950072
48, 948528
49, 948108
50, 947648
51, 948008
52, 946688
53, 947316
54, 948252
55, 947320
56, 961696
57, 948208
58, 946548
59, 948020
60, 947112
61, 947764
62, 945636
63, 947096
64, 948516
65, 958856
66, 949620
67, 948920
68, 948452
69, 948420
70, 946988
71, 999840
72, 971504
73, 950808
74, 947688
75, 966272
76, 948928
77, 948112
78, 948052
79, 950344
80, 971624
81, 959936
82, 968820
83, 1024396
84, 948640
85, 968536
86, 948372
87, 946752
88, 947872
89, 947372
90, 946208
91, 946180
92, 947028
93, 946136
94, 958192
95, 947992
96, 947636
97, 946176
98, 946552
99, 955396
100, 953576
101, 946988
102, 948652
103, 946948
104, 959852
105, 947952
106, 945728
107, 945896
108, 946928
109, 946280
110, 946480
111, 987716
112, 965912
113, 951044
114, 965676
115, 947340
116, 947068
117, 946508
118, 947832
119, 946096
120, 948048
121, 948040
122, 947968
123, 957164
124, 947872
125, 948168
126, 948308
127, 946384
128, 948460
129, 947560
130, 948536
131, 947984
132, 948156
133, 965344
134, 946828
135, 946044
136, 946148
137, 948124
138, 947688
139, 948452
140, 947916
141, 946392
142, 947412
143, 955392
144, 949196
145, 946912
146, 947412
147, 947312
148, 948024
149, 947196
150, 947284
151, 971516
152, 958076
153, 949180
154, 948400
155, 947040
156, 946788
157, 948136
158, 946052
159, 947944
160, 947012
161, 947620
162, 954272
163, 949032
164, 1082960
165, 1016416
166, 999396
167, 1007604
168, 957376
169, 949080
170, 950616
171, 973300
172, 949732
173, 949388
174, 948084
175, 948864
176, 949984
177, 950268
178, 949152
179, 949464
180, 950592
181, 958592
182, 950384
183, 949388
184, 948980
185, 948988
186, 947868
187, 948864
188, 949180
189, 950304
190, 957092
191, 949788
192, 949304
193, 949116
194, 950872
195, 949384
196, 950252
197, 950044
198, 950396
199, 949476
200, 958772
