Ciclos,cant_clock
1, 1690466
2, 1669198
3, 1572893
4, 1448480
5, 1446984
6, 1446628
7, 1446812
8, 1446120
9, 1672676
10, 1451292
11, 1457688
12, 1512220
13, 1567736
14, 1571252
15, 1528404
16, 1495164
17, 1449740
18, 1446340
19, 1446536
20, 1446876
21, 1491220
22, 1448152
23, 1446908
24, 1446500
25, 1446476
26, 1446276
27, 1447056
28, 1456200
29, 1446200
30, 1445864
31, 1445872
32, 1446560
33, 1445888
34, 1458244
35, 1476632
36, 1446864
37, 1446172
38, 1446564
39, 1793728
40, 2221828
41, 1483180
42, 1550660
43, 1448856
44, 1447564
45, 1446352
46, 1473196
47, 1447476
48, 1447064
49, 1446348
50, 1446296
51, 1446464
52, 1455720
53, 1447420
54, 1447132
55, 1446108
56, 1446032
57, 1446244
58, 1461288
59, 1447832
60, 1612136
61, 1471708
62, 1448664
63, 1446644
64, 1446660
65, 1466304
66, 1446568
67, 1446532
68, 1446156
69, 1445444
70, 1445432
71, 1455088
72, 1445848
73, 1445904
74, 1446428
75, 1446708
76, 1446204
77, 1457584
78, 1447068
79, 1576916
80, 1448820
81, 1446124
82, 1446096
83, 1446000
84, 1459604
85, 1447324
86, 1470648
87, 1447472
88, 1446584
89, 1446716
90, 1457472
91, 1446992
92, 1446728
93, 1446780
94, 1446472
95, 1446276
96, 1455764
97, 1446936
98, 1445944
99, 1446536
100, 1445692
101, 1446100
102, 1453484
103, 1447076
104, 1446040
105, 1446500
106, 1446544
107, 1446012
108, 1446548
109, 1452400
110, 1446684
111, 1446432
112, 1446804
113, 1446280
114, 1446760
115, 1453984
116, 1446868
117, 1772652
118, 2068536
119, 1687548
120, 1450160
121, 1472872
122, 1447192
123, 1446460
124, 1446780
125, 1446860
126, 1447056
127, 1456144
128, 1447300
129, 1446696
130, 1446348
131, 1447200
132, 1446328
133, 1455464
134, 1446852
135, 1447084
136, 1446168
137, 1446320
138, 1446512
139, 1446724
140, 1481024
141, 1449180
142, 1446792
143, 1446732
144, 1446500
145, 1446196
146, 1458192
147, 1446384
148, 1446536
149, 1446428
150, 1446196
151, 1446084
152, 1454500
153, 1446280
154, 1446344
155, 1446288
156, 1445800
157, 1446604
158, 1445296
159, 1454164
160, 1447904
161, 1447048
162, 1446616
163, 1446616
164, 1447268
165, 1452916
166, 1446252
167, 1446864
168, 1446536
169, 1445440
170, 1445356
171, 1462152
172, 1447212
173, 1446592
174, 1446548
175, 1446220
176, 1446592
177, 1446816
178, 1454172
179, 1446332
180, 1446464
181, 1446096
182, 1446128
183, 1446364
184, 1453324
185, 1447180
186, 1446716
187, 1446504
188, 1446632
189, 1446128
190, 1454220
191, 1446952
192, 1446516
193, 1446844
194, 1447324
195, 1446824
196, 1446712
197, 1453984
198, 1446812
199, 1446668
200, 1446872
